comp_name,comp_type,comp_size,region,city,Salary,contract,exper,gender
مؤسسة جازي  للمقاولات,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,0,M
اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,Private company,Small class B,Al-Baha,AL BAHA...,8803,Full Time,0,both
مؤسسة جازي  للمقاولات,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,2,M
مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,Private company,Medium class B,makkah,MAKKAH AL...,4000,Full Time,0,F
مجمع إيلاف الطبي,Private company,Small class B,makkah,AL WATAH...,7000,Full Time,0,F
شركة العناية والرعاية الطبية شركة شخص واحد,Private company,Small class A,Al-Jawf,AL QURAYY...,5000,Full Time,0,F
شركة أمن وسلامه للمقاولات,Private company,Small class B,Riyadh,ABA ASLAB...,4000,Full Time,0,both
محل فوق المتوقع للهدايا,Private company,Small class A,makkah,JEDDAH...,4000,Full Time,2,F
شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,Private company,Medium class A,makkah,MAKKAH AL...,4000,Full Time,0,both
شركة العهد الجديد للتجارة والتسويق,Private company,Small class A,Riyadh,AR RIYADH...,4000,Remote work,2,F
شركة العهد الجديد للتجارة والتسويق,Private company,Small class A,Riyadh,AR RIYADH...,6000,Full Time,2,both
شركة العاج الطبية,Private company,Small class B,almintaqat alsharqia,AL KHUBAR...,7000,Full Time,0,both
ورشة حسن علي آل ربح للحدادة والالمنيوم,Private company,Small class B,almintaqat alsharqia,AL QATIF...,4000,Full Time,0,both
مركز أقوي عضلة الرياضي,Private company,Small class B,Al-Qassim,AL BADAI'...,4000,Full Time,0,M
شركةازياء التجزئة التجارية,Private company,Great,Riyadh,AR RIYADH...,8000,Full Time,0,M
مقهى الكرز بلوم لتقديم المشروبات,Private company,Small class B,almadinat almunawara,ABA AL BA...,4000,Full Time,2,M
مؤسسة قمة الهرم التجارية,Private company,Small class B,makkah,AL QUNFID...,4000,Full Time,4,both
فر مؤسسة غربي عبدالله محمد الشدادي للمقاولات العامة فرع تأجي,Private company,Small class B,makkah,AL QUNFID...,4500,Full Time,2,F
مركز الغربي للمفروشات الراقية,Private company,Small class B,makkah,AL QUNFID...,4000,Full Time,4,M
مؤسسه غربي عبدالله محمد الشدادي للمقاولات العامه,Private company,Small class B,makkah,AL QUNFID...,4000,Full Time,4,M
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,almintaqat alsharqia,AL QATIF...,5700,Full Time,0,M
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,almintaqat alsharqia,AL QATIF...,5700,Full Time,2,M
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,almintaqat alsharqia,AL QATIF...,5700,Full Time,0,M
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,makkah,MAKKAH AL...,5700,Full Time,0,M
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,makkah,MAKKAH AL...,8400,Full Time,2,M
شركه التقوى للتربيه والتعليم والتدريب المحدوده,Private company,Medium class B,Riyadh,AR RIYADH...,5000,Full Time,0,M
مطعم مذاق الشرفة لتقديم الوجبات,Private company,Medium class B,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,both
مطعم مذاق الشرفة لتقديم الوجبات,Private company,Medium class B,almintaqat alsharqia,AL KHUBAR...,6000,Full Time,2,both
مطعم مذاق الشرفة لتقديم الوجبات,Private company,Medium class B,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,both
مطعم مذاق الشرفة لتقديم الوجبات,Private company,Medium class B,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,both
الشركة العالمية لتطوير المهارات,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,4,F
شركة ابناء المجد الاهليه,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,M
مؤسسة البرمجة الرائدة لخدمات الاتصالات,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4000,Full Time,0,F
محل بيت العائلة للاواني المنزلية,Private company,Small class A,Jazan,AL 'AYDAB...,3200,Full Time,0,M
نادي الحجاز الرياضي ببلجرشي,Private company,Small class A,Al-Baha,BILJURASH...,4000,Full Time,0,F
مجمع شفاء طيبة الطبي,Private company,Medium class A,almadinat almunawara,AL MADINA...,4000,Full Time,0,F
مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,Private company,Medium class B,makkah,MAKKAH AL...,4000,Full Time,0,F
مؤسسة لوبا المتطورة التجارية,Private company,Medium class B,makkah,JEDDAH...,4000,Full Time,2,M
مؤسسة السابع و الثلاثون لتنظيم المعارض والمؤتمرات,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,2,both
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL MUBARR...,6000,Full Time,0,M
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,6000,Full Time,2,F
شركة الساعد الدولية المحدودة,Private company,Medium class B,Riyadh,AR RIYADH...,5700,Full Time,2,M
شركة الساعد الدولية المحدودة,Private company,Medium class B,Riyadh,AR RIYADH...,10000,Full Time,2,F
مؤسسة قدور نجد لخدمات الاعاشة,Private company,Medium class B,Riyadh,AR RIYADH...,8000,Full Time,2,both
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,6000,Full Time,0,M
مركز إجادة السلامة للتدريب,Private company,Small class B,makkah,JEDDAH...,6000,Full Time,0,M
مؤسسة تصاميم المستقبل للديكور,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,3500,Full Time,0,F
شركة عراقة للتقييم العقاري شركة شخص واحد,Private company,Small class B,Riyadh,AR RIYADH...,6000,Full Time,2,both
شركة ذات الهمة التجارية (شركة شخص واحد),Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4500,Full Time,2,F
مؤسسة الفا بيتا لتقنية المعلومات,Private company,Small class A,almintaqat alsharqia,AL QATIF...,4000,Full Time,0,M
شركة الجرعة المفرطة للتجارة شركة شخص واحد,Private company,Medium class B,Al-Qassim,BURAYDAH...,6000,Full Time,4,both
شركة الجرعة المفرطة للتجارة شركة شخص واحد,Private company,Medium class B,Riyadh,AR RIYADH...,6000,Full Time,4,both
شركة الجرعة المفرطة للتجارة شركة شخص واحد,Private company,Medium class B,Riyadh,AR RIYADH...,5500,Full Time,2,both
مؤسسة رؤية المتقدمة للتجارة,Private company,Small class B,makkah,JEDDAH...,5000,Full Time,0,M
شركة الجرعة المفرطة للتجارة شركة شخص واحد,Private company,Medium class B,Riyadh,AR RIYADH...,7000,Full Time,4,both
شركة مشراف المدائن للمقاولات,Private company,Medium class B,Riyadh,AR RIYADH...,7000,Full Time,2,both
شركة مشراف المدائن للمقاولات,Private company,Medium class B,Riyadh,AR RIYADH...,7000,Full Time,2,M
مؤسسة طيبات الجزيرة للحوم,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4000,Full Time,0,F
مؤسسة طيبات الجزيرة للحوم,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4000,Full Time,0,F
مصنع جيني للعطور ومستحضرات التجميل,Private company,Medium class B,Riyadh,ABA ASLAB...,4000,Full Time,0,F
شركة مصنع دار النعايم للصناعات الغذائية,Private company,Medium class A,Riyadh,AR RIYADH...,5800,Full Time,2,M
مصنع جيني للعطور ومستحضرات التجميل,Private company,Medium class B,Riyadh,ABA ASLAB...,5000,Full Time,0,M
مؤسسة البطان للمقاولات العامة,Private company,Medium class A,makkah,AL LITH...,4000,Full Time,7,M
شركة مدارس الرواد العالمية,Private company,Great,Riyadh,AR RIYADH...,18000,Full Time,4,F
مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,Private company,Medium class B,makkah,JEDDAH...,4000,Full Time,0,both
مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة الجزيره للتجاره والتصنيع المحدوده,Private company,Great,Riyadh,AR RIYADH...,4000,Full Time,2,M
شركة الجزيره للتجاره والتصنيع المحدوده,Private company,Great,Riyadh,AR RIYADH...,5000,Full Time,2,M
مؤسسة الرجل أنيق التجارية,Private company,Small class A,makkah,AL QUNFID...,4000,Full Time,7,M
مؤسسة الرجل أنيق التجارية,Private company,Small class A,makkah,AL QUNFID...,4000,Full Time,10,M
الشركة العربية للاستثمارات  الزراعيه والحيوانيه,Private company,Medium class A,Riyadh,AL KHARJ...,5625,Full Time,0,M
شركة رسو الشرق التجارية,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,6000,Full Time,2,M
شركة الراجح الحديثة للمقاولات المحدودة,Private company,Medium class C,almadinat almunawara,AL MADINA...,21000,Full Time,2,both
مستشفى دله فرع شركة دله للخدمات الصحيه,Private company,Great,Riyadh,AR RIYADH...,5129,Full Time,0,both
شركة ركن الثواني التجارية,Private company,Small class B,Riyadh,ABA ASLAB...,4000,Full Time,0,M
مؤسسة بيتكم لتقنية المعلومات,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,0,both
شركة صالح حسين سالم ال سلامه وشريكه,Private company,Giant,Riyadh,ABA ASLAB...,6434,Full Time,0,both
شركة صالح حسين سالم ال سلامه وشريكه,Private company,Giant,Riyadh,ABA ASLAB...,6434,Full Time,0,both
شركة صالح حسين سالم ال سلامه وشريكه,Private company,Giant,Riyadh,ABA ASLAB...,6434,Full Time,0,both
المعهد العالي السعودي الياباني للسيارات,Private company,Medium class A,makkah,JEDDAH...,5000,Full Time,2,M
شركة نجد للمقاولات شركة شخص واحد,Private company,Medium class A,Hail,HAIL...,6000,Full Time,0,M
مطعـم الوجوه الاربعه لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,5200,Full Time,0,M
مكتب الإبداع الحديث للاستشارات الهندسية,Private company,Small class A,makkah,JEDDAH...,8010,Full Time,10,both
شركة حمزة محمد الديري للمقاولات,Private company,Medium class A,makkah,JEDDAH...,7000,Full Time,2,M
مكتب سيجما الكفاءات للاستقدام,Private company,Small class A,makkah,JEDDAH...,4000,Full Time,0,F
شركة الهضب للتجارة والمقاولات,Private company,Medium class B,makkah,JEDDAH...,8500,Full Time,2,M
شركة سنا المدينة للتمور,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,2,both
شركة ذات الهمة التجارية (شركة شخص واحد),Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4500,Full Time,2,F
شركة عيون الدار للصناعة شركة شخص واحد,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,both
مطعم استراحة البساتين لتقديم الوجبات,Private company,Small class B,Jazan,SABYA...,3600,Full Time,0,F
مجمع بلسم علاج الطبي العام,Private company,Small class B,makkah,AL KHURMA...,6000,Full Time,4,both
ديوانية مركاز الشيوخ,Private company,Small class B,makkah,AL QUNFID...,4000,Full Time,4,F
محل تاج الطفولة لالعاب الأطفال,Private company,Small class B,makkah,AL QAWZ...,4000,Full Time,4,F
مطعم الينا لتقديم الوجبات,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,4,F
شركة الورده المتميزه الصناعية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,M
مجموعة البارقة للتشغيل والصيانة,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,6000,Full Time,2,F
مجموعة البارقة للتشغيل والصيانة,Private company,Small class B,Riyadh,AR RIYADH...,7000,Full Time,4,both
شركة اساس الحفر للمقاولات العامة,Private company,Small class A,Riyadh,ABA ASLAB...,4000,Full Time,2,F
مركز النجوم العالية ضيافة الأطفال الأهلية,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,7500,Full Time,12,F
شركة عجائب البحار للمشروعات السياحيه والترفيهيه,Private company,Medium class B,makkah,JEDDAH...,4408,Full Time,0,M
شركة اساس الحفر للمقاولات العامة,Private company,Small class A,Riyadh,ABA ASLAB...,4000,Full Time,2,both
شركة جوين العالمية المحدودة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,both
شركة جوين العالمية المحدودة,Private company,Small class B,Riyadh,ABA ASLAB...,5500,Full Time,0,both
مؤسسة فاطمه سعيد صالح خلف للقرطاسية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,both
فرع شركة متجر راحتي التجارية,Private company,Medium class B,Al-Qassim,BURAYDAH...,4000,Full Time,0,M
فرع متجر راحتي التجارية,Private company,Medium class B,Hail,HAIL...,4000,Full Time,0,M
مجمع العرجان الطبي,Private company,Medium class A,Tabuk,TABUK...,5000,Full Time,0,both
شركة المشرق الذهبي المحدودة (شركة شخص واحد),Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,0,M
شركه عبداللطيف احمد العرفج وشريكه بيع مواد غذائية,Private company,Medium class B,Riyadh,AR RIYADH...,6000,Full Time,2,M
مؤسسة محمود عبد الخالق سعيد قاسم التجارية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,M
شركة ال جي شاكر المحدوده,Private company,Medium class C,Riyadh,ABA ASLAB...,27000,Full Time,4,both
مؤسسة محمود عبد الخالق سعيد قاسم التجارية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,M
مجمع الخريف الطبي,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,both
الشركه السعوديه لصناعة المكيفات المحدوده,Private company,Great,makkah,JEDDAH...,8100,Full Time,2,M
الشركه السعوديه لصناعة المكيفات المحدوده,Private company,Great,makkah,JEDDAH...,4583,Full Time,0,M
شركة مجموعة الفؤاد للتجارة والمقاولات المحدودة,Private company,Great,makkah,MAKKAH AL...,7000,Full Time,0,M
مؤسسة متحف الغذاء للتجارة,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,0,both
شركة انكر اليابان,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,2,both
مؤسسة الكيان للمياه والمشروبات الغازية,Private company,Small class B,almadinat almunawara,AL JURF...,4000,Remote work,0,F
محل لحظة لقى لتقديم المشروبات,Private company,Small class A,Riyadh,AR RIYADH...,6500,Full Time,0,both
مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,Private company,Small class A,almintaqat alsharqia,AL KHUBAR...,7000,Full Time,2,both
مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,Private company,Small class A,almintaqat alsharqia,AL KHUBAR...,12000,Full Time,2,both
مجمع عيادات دار العلاج,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,2,both
مطعم دجاج بيك للوجبات السريعة,Private company,Small class B,Tabuk,HAQL...,4000,Full Time,2,M
مكتب عبدالمحسن المحرج للمحاماة والاستشارات,Private company,Small class B,Riyadh,AR RIYADH...,5500,Full Time,0,M
مكتب عبدالمحسن المحرج للمحاماة والاستشارات,Private company,Small class B,Riyadh,AR RIYADH...,5500,Full Time,4,F
شركة  الشرق المتحدة لتأجير السيارات,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,2,both
مكتب عبدالمحسن المحرج للمحاماة والاستشارات,Private company,Small class B,Riyadh,AR RIYADH...,5500,Full Time,4,F
مكتب عبدالمحسن المحرج للمحاماة والاستشارات,Private company,Small class B,Riyadh,AR RIYADH...,10000,Full Time,4,F
شركة بوا للتجارة شركة شخص واحد,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,F
شركة الضبيب والسليم لاصحابها خليفه الضبيب وحمد السليم,Private company,Medium class C,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,both
مصنع شركة صابر لإنتاج الزجاج,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,4600,Full Time,0,F
شركـة نون التعليمية لتقنية المعلومات,Private company,Small class B,Riyadh,AR RIYADH...,8496,Full Time,4,both
شركة بوا للتجارة شركة شخص واحد,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
عيادة رامي محمد سعيد ابراهيم حسنين لطب الاسنان,Private company,Small class B,makkah,GHITHAH...,5000,Full Time,0,F
مجموعة البارقة للتشغيل والصيانة,Private company,Small class B,Riyadh,AR RIYADH...,6000,Full Time,2,both
مكتب خيارك الوحيد للخدمات العامة,Private company,Small class A,Al-Baha,AL AQIQ...,4000,Full Time,0,both
مكتب محمد الخليوي محامون ومستشارون قانونيون,Private company,Small class B,Riyadh,AR RIYADH...,8000,Full Time,0,both
الجمعية الخيرية لرعاية الايتام بمكة المكرمة,Private company,Small class B,makkah,MAKKAH AL...,7000,Full Time,0,both
مؤسسة سلاسل بابل للمقاولات,Private company,Small class B,Riyadh,ABU TARFA...,4000,Full Time,0,F
مجمع سلامتك لطب الاسنان الطبي المتخصص فرع شركةخالد عبداللةكدسةوشركاه,Private company,Medium class A,makkah,JEDDAH...,4500,Full Time,0,F
شركة رحابة العقارية,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركة رحابة العقارية,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,2,M
شركة رحابة العقارية,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,0,F
مؤسسة قدور نجد لخدمات الاعاشة,Private company,Medium class B,makkah,JEDDAH...,4000,Full Time,0,both
مؤسسة قدور نجد لخدمات الاعاشة,Private company,Medium class B,makkah,JEDDAH...,6000,Full Time,2,both
شركة خالد بن عبدالعزيز الملحم وشركاؤه للاستشارات الهندسية,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,6000,Full Time,10,M
مؤسسة قدور نجد لخدمات الاعاشة,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة مدار الفكرة للتجارة شركة شخص واحد,Private company,Medium class A,Riyadh,AR RIYADH...,4000,Full Time,0,F
مؤسسة قوة اللمعة للسيارات,Private company,Small class B,makkah,MAKKAH AL...,4500,Full Time,0,both
شركة المردف للتجارة,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,2,both
شركة المردف للتجارة,Private company,Small class A,Riyadh,AR RIYADH...,8000,Full Time,4,both
شركة دليل المواقع لتقنية المعلومات,Private company,Small class A,Riyadh,AR RIYADH...,6500,Full Time,2,both
مكتب المحامي سعد بن درويش آل محفوظ,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,both
شركة حديد السد للصناعة,Private company,Medium class B,Riyadh,AR RIYADH...,5500,Full Time,0,M
مكتب المحامي سعد بن درويش آل محفوظ,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,F
الجمعية الخيرية لرعاية الايتام بمكة المكرمة,Private company,Small class B,makkah,AT TAIF...,7000,Full Time,2,both
شركة أرتال الفندقية,Private company,Medium class A,Riyadh,AR RIYADH...,6250,Full Time,0,M
مؤسسة أبعاد الجمال التجارية,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,F
شركة قطاف المستقبل للصناعات الغذائية,Private company,Small class B,Riyadh,TUMAIR...,8333,Full Time,4,M
شركة نور الانشائية للمقاولات شركة شخص واحد,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,4,F
مجمع الجمال العصري الطبي,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,0,F
شركة السبائك الذهبية للمعادن الثمينة,Private company,Small class A,makkah,JEDDAH...,5000,Full Time,2,F
شركة اسواق بساتين القصيم,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مركز شار لطب الاسنان,Private company,Medium class A,makkah,JEDDAH...,4000,Full Time,4,F
شركة محمد سراج عطار وأخويه,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,M
مؤسسة دمك للمقاولات العامة,Private company,Small class B,almintaqat alsharqia,BUQAYQ...,4000,Full Time,0,F
مؤسسة تركي داود عبدالله الضبيعي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,2,both
مؤسسة نظارتي للبصريات,Private company,Small class B,makkah,JEDDAH...,5500,Full Time,0,both
فرع شركة نسيم العصرية المحدودة,Private company,Small class B,makkah,JEDDAH...,7000,Full Time,0,M
شركة انكر اليابان,Private company,Small class B,Riyadh,AR RIYADH...,32000,Full Time,7,both
مجمع حكماء الدواء الطبي,Private company,Small class A,Al-Baha,AL BAHA...,4000,Full Time,0,F
شركة قطاف التجارية شركة شخص واحد,Private company,Small class B,Riyadh,AR RIYADH...,12325,Full Time,0,M
مؤسسة تجمع لتقديم المشروبات,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,both
شركة ايجارة للتمويل (مساهمة مقفلة),Private company,Medium class A,Riyadh,AR RIYADH...,4500,Full Time,2,both
شركة توصيل التجارية شركة شخص واحد,Private company,Great,Riyadh,AR RIYADH...,5625,Full Time,0,M
شركة يسم للصناعة,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,both
جمعية الدعوة والارشاد وتوعية الجاليات في الصناعية ,Semi-governmental,Great,Riyadh,AR RIYADH...,7000,Full Time,0,M
شركة الريم الذهبي لتقديم المشروبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,M
شركة الجبيل لخدمات الطاقة شركة الشخص الواحد,Private company,Great,almintaqat alsharqia,AL JUBAIL...,6583,Full Time,0,M
شركة الجبيل لخدمات الطاقة شركة الشخص الواحد,Private company,Great,almintaqat alsharqia,AL JUBAIL...,6583,Full Time,0,M
مؤسسة جنة الرضا التجارية,Private company,Small class A,almintaqat alsharqia,AL QALT...,4000,Full Time,0,M
شركة ارسيلور ميتال تيوبيلر برودكتس الجبيل شركة مساهمة مقفلة ,Private company,Great,almintaqat alsharqia,AL JUBAIL...,6583,Full Time,0,M
مؤسسة جنة الرضا التجارية,Private company,Small class A,almintaqat alsharqia,AL QATIF...,4000,Full Time,0,M
مطعم الورده الشاميه لتقديم الوجبات,Private company,Medium class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
مطعم الورده الشاميه لتقديم الوجبات,Private company,Medium class A,Riyadh,AL KHARJ...,4000,Full Time,0,both
شركة تمكن الأولى المحدودة,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة تمكن الأولى المحدودة,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة عبدالعزيز محمد عبدالله اليحى التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,M
مؤسسة عبدالعزيز محمد عبدالله اليحى التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة اتقان الوطنية للاتصالات و تقنية المعلومات شركة شخص واحد,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,F
مؤسسة وقت البسبوسة الطازجة للحلويات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,F
شركة ابراج الثقة للتشغيل والصيانة,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,M
شركة ابراج الثقة للتشغيل والصيانة,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,M
شركة ابراج الثقة للتشغيل والصيانة,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,2,M
شركة ابراج الثقة للتشغيل والصيانة,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,2,M
شركة ابراج الثقة للتشغيل والصيانة,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,2,M
شركة روافد الحقول للوجبات السريعة شركة شخص واحد,Private company,Small class B,makkah,JEDDAH...,10000,Full Time,10,both
شركة روافد الحقول للوجبات السريعة شركة شخص واحد,Private company,Small class B,makkah,JEDDAH...,15000,Full Time,4,both
مركز القانون والاعمال محامون ومستشارون قانونيون,Private company,Small class B,almintaqat alsharqia,AL KHUBAR...,4000,Full Time,0,both
شركة جاب كورب العربية السعودية المحدودة,Private company,Small class B,makkah,JEDDAH...,5500,Full Time,0,M
شركة جبال سنجار الغذائية,Private company,Medium class C,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,both
فيحاء دمشق لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
فيحاء دمشق لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مكتب منشآت خالدة للاستشارات الهندسية,Private company,Small class A,makkah,MAKKAH AL...,5000,Full Time,0,F
شركة جيدا التجارية,Private company,Small class B,makkah,AT TAIF...,4500,Full Time,0,F
مطعم عالم الكروان لتقديم الوجبات,Private company,Small class A,almintaqat alsharqia,AL MUBARR...,4000,Full Time,0,both
مكتب الإبن الحكيم للاستشارات التعليمية والتربوية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,both
شركة أنجال العروبة المحدودة,Private company,Small class B,makkah,MAKKAH AL...,4500,Full Time,0,M
شركة مجموعة زيد الحسين واخوانة للمقاولات,Private company,Giant,Riyadh,AR RIYADH...,7000,Full Time,0,both
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,5540,Full Time,4,both
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,6040,Full Time,4,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,4840,Full Time,4,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,6540,Full Time,7,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,6040,Full Time,4,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,7540,Full Time,7,both
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,8540,Full Time,10,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,6040,Full Time,4,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AR RIYADH...,5639,Full Time,4,F
شركة مدارس موسوعة العلوم الاهلية,Private company,Medium class A,Riyadh,AD DIR'IY...,4540,Full Time,4,F
شركة أسامه بكر عبدالله بكر الزراعية,Private company,Medium class A,makkah,AT TAIF...,4000,Full Time,0,F
شركه الرأي للخدمات البيئيه شركة مساهمة سعودية مقفلة,Private company,Great,Riyadh,AR RIYADH...,4000,Full Time,0,F
أبو سلطان للمقاولات,Private company,Small class B,Asir,ABRAQ AN ...,4000,Remote work,0,both
شركه الرشد التعليميه المحدوده,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,2,M
موسسة بيكو للقرطاسية,Private company,Small class A,makkah,JEDDAH...,8000,Full Time,4,M
شركة بتوك للمحروقات شركة شخص واحد,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة فينزي للتمويل مساهمة مقفلة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,both
مكتب اجاره للاستقدام,Private company,Small class B,almintaqat alsharqia,AL KHUBAR...,5001,Full Time,2,both
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,7500,Full Time,2,M
شركة ابداعنا يختلف للخدمات التجارية (شركة شخص واحد),Private company,Medium class B,makkah,JEDDAH...,4500,Full Time,2,F
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,7500,Full Time,2,M
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,4000,Full Time,0,both
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,4000,Full Time,2,both
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,5700,Full Time,2,both
شركة مجموعة الفارس التجارية (شركة شخص واحد),Private company,Great,Asir,ABHA...,5700,Full Time,2,both
